"type","ta","pf","genus","species","v3","v4","v5","v7","v8","code","ref","q10","cte","thr","decay","ctmax","max.pf","ta.opt","breadth.50","breadth.80","r.square","n.samples","K.param","AIC","type2","u_yopt","u_Topt","u_Delta","u_Tc"
"pho",45.258,2.895,"Atriplex","lentiformis","CO2uptake","nanomole/cm^2sec",NA,NA,NA,"alhotphoto","Berry&Bjorkman1980",2.124579099,0.281305278,18.70586488,0.000947942,51.18535007,3.27184271,40.5,24.99,14.04,0.990446237,17,5,-61.7167691,"biochem",3.30467131497652,40.7524250334701,10.0032490406791,50.7556740741491
"pho",47.113,2.321,"Atriplex","lentiformis","CO2uptake","nanomole/cm^2sec",NA,NA,NA,"alhotphoto","Berry&Bjorkman1980",2.124579099,0.281305278,18.70586488,0.000947942,51.18535007,3.27184271,40.5,24.99,14.04,0.990446237,17,5,-61.7167691,"biochem",3.30467131497652,40.7524250334701,10.0032490406791,50.7556740741491
"run",12.4,0,"Anolis","humilis",NA,NA,NA,NA,NA,"anhum","Van_Berkum1986",3.688195766,0.044598698,16.85927163,0.002850215,35.59028022,1.14155075,29.4,14.42,8.1,0.947867749,5,5,2.281948702,"#run",1.14604461880547,29.6968491184368,5.89476211032273,35.5916112287596
"run",22.3,0.871,"Anolis","humilis",NA,NA,NA,NA,NA,"anhum","Van_Berkum1986",3.688195766,0.044598698,16.85927163,0.002850215,35.59028022,1.14155075,29.4,14.42,8.1,0.947867749,5,5,2.281948702,"#run",1.14604461880547,29.6968491184368,5.89476211032273,35.5916112287596
"run",26.4,1.076,"Anolis","humilis",NA,NA,NA,NA,NA,"anhum","Van_Berkum1986",3.688195766,0.044598698,16.85927163,0.002850215,35.59028022,1.14155075,29.4,14.42,8.1,0.947867749,5,5,2.281948702,"#run",1.14604461880547,29.6968491184368,5.89476211032273,35.5916112287596
"run",30.5,1.049,"Anolis","humilis",NA,NA,NA,NA,NA,"anhum","Van_Berkum1986",3.688195766,0.044598698,16.85927163,0.002850215,35.59028022,1.14155075,29.4,14.42,8.1,0.947867749,5,5,2.281948702,"#run",1.14604461880547,29.6968491184368,5.89476211032273,35.5916112287596
"run",35.62,0,"Anolis","humilis",NA,NA,NA,NA,NA,"anhum","Van_Berkum1986",3.688195766,0.044598698,16.85927163,0.002850215,35.59028022,1.14155075,29.4,14.42,8.1,0.947867749,5,5,2.281948702,"#run",1.14604461880547,29.6968491184368,5.89476211032273,35.5916112287596
"run",11.06,0,"Anolis","intermedius",NA,NA,NA,NA,NA,"anint","Van_Berkum1986",2.979621685,0.06160093,15.572682,0.001916934,38.4127017,0.988322277,31,17.34,9.74,0.93265438,5,5,3.102936375,"#run",0.999479094030633,31.3863423609114,7.03000804863539,38.4163504095468
"run",20.2,0.625,"Anolis","intermedius",NA,NA,NA,NA,NA,"anint","Van_Berkum1986",2.979621685,0.06160093,15.572682,0.001916934,38.4127017,0.988322277,31,17.34,9.74,0.93265438,5,5,3.102936375,"#run",0.999479094030633,31.3863423609114,7.03000804863539,38.4163504095468
"run",26.3,0.935,"Anolis","intermedius",NA,NA,NA,NA,NA,"anint","Van_Berkum1986",2.979621685,0.06160093,15.572682,0.001916934,38.4127017,0.988322277,31,17.34,9.74,0.93265438,5,5,3.102936375,"#run",0.999479094030633,31.3863423609114,7.03000804863539,38.4163504095468
